"nameorig","namedest","type","total_fraud_amount","fraud_rank"
"C229313332","C766725973","TRANSFER","10000000","167"
"C23027348","C1188014046","TRANSFER","10000000","168"
"C23198921","C486186579","CASH_OUT","10000000","169"
"C239857977","C1021550383","TRANSFER","10000000","170"
"C246726057","C1786144514","CASH_OUT","10000000","171"
"C24775045","C494244936","TRANSFER","10000000","172"
"C256835090","C1369253515","CASH_OUT","10000000","173"
"C25889412","C1671906752","CASH_OUT","10000000","174"
"C260657856","C801890101","TRANSFER","10000000","175"
"C273979298","C1510815107","CASH_OUT","10000000","176"
"C276347571","C1823815645","CASH_OUT","10000000","177"
"C29118015","C1379703840","CASH_OUT","10000000","178"
"C291823113","C1546786985","CASH_OUT","10000000","179"
"C292642955","C1916793179","TRANSFER","10000000","180"
"C298387535","C662194461","TRANSFER","10000000","181"
"C313051938","C2055653883","TRANSFER","10000000","182"
"C315149365","C574552283","CASH_OUT","10000000","183"
"C315155195","C224104774","TRANSFER","10000000","184"
"C327855497","C2013390104","TRANSFER","10000000","185"
"C333142995","C1990623385","CASH_OUT","10000000","186"
"C339144629","C447852930","TRANSFER","10000000","187"
"C351297720","C766681183","CASH_OUT","10000000","188"
"C352927410","C593822721","CASH_OUT","10000000","189"
"C356177155","C803181313","TRANSFER","10000000","190"
"C357910633","C810398969","TRANSFER","10000000","191"
"C373820487","C839316822","TRANSFER","10000000","192"
"C382584608","C1129582294","TRANSFER","10000000","193"
"C392319907","C852706972","CASH_OUT","10000000","194"
"C393177637","C106531078","TRANSFER","10000000","195"
"C395312314","C554878096","TRANSFER","10000000","196"
"C40489106","C650095152","TRANSFER","10000000","197"
"C409047240","C325570373","CASH_OUT","10000000","198"
"C412961249","C253674970","TRANSFER","10000000","199"
"C413407419","C2065262017","TRANSFER","10000000","200"
"C415175436","C1774310379","CASH_OUT","10000000","201"
"C416779475","C380259496","TRANSFER","10000000","202"
"C417104903","C1127889492","TRANSFER","10000000","203"
"C421958672","C2034016962","CASH_OUT","10000000","204"
"C424305014","C761333500","CASH_OUT","10000000","205"
"C426632957","C48103061","TRANSFER","10000000","206"
"C430326245","C264263365","CASH_OUT","10000000","207"
"C466387318","C1396306912","CASH_OUT","10000000","208"
"C475879190","C1395082788","TRANSFER","10000000","209"
"C476780134","C1150932816","TRANSFER","10000000","210"
"C47972411","C2059078386","CASH_OUT","10000000","211"
"C485022724","C1852255407","TRANSFER","10000000","212"
"C486804071","C565255701","CASH_OUT","10000000","213"
"C487836667","C1825256816","CASH_OUT","10000000","214"
"C48892155","C281499391","TRANSFER","10000000","215"
"C494814442","C242619213","CASH_OUT","10000000","216"
"C501435638","C201807091","TRANSFER","10000000","217"
"C507645439","C270374999","TRANSFER","10000000","218"
"C50848420","C1732619349","CASH_OUT","10000000","219"
"C50880393","C590550775","TRANSFER","10000000","220"
"C511044281","C2122549663","TRANSFER","10000000","221"
"C512841143","C832210168","TRANSFER","10000000","222"
"C51318897","C259016801","CASH_OUT","10000000","223"
"C517014062","C473496930","CASH_OUT","10000000","224"
"C523152614","C1115935121","TRANSFER","10000000","225"
"C524119157","C1979637041","TRANSFER","10000000","226"
"C525906402","C43869769","CASH_OUT","10000000","227"
"C53057884","C588547519","TRANSFER","10000000","228"
"C531780975","C19233081","CASH_OUT","10000000","229"
"C538142346","C557678014","CASH_OUT","10000000","230"
"C546529","C1056895901","CASH_OUT","10000000","231"
"C557530807","C1466553904","TRANSFER","10000000","232"
"C576718894","C673002421","TRANSFER","10000000","233"
"C590657619","C1971187430","TRANSFER","10000000","234"
"C611232899","C1347105871","TRANSFER","10000000","235"
"C611266537","C305170140","CASH_OUT","10000000","236"
"C618976547","C1908782637","CASH_OUT","10000000","237"
"C619552920","C1630566944","CASH_OUT","10000000","238"
"C628072559","C1677685761","CASH_OUT","10000000","239"
"C634268681","C879312587","CASH_OUT","10000000","240"
"C63538570","C1430589184","CASH_OUT","10000000","241"
"C642807002","C177097272","TRANSFER","10000000","242"
"C671111468","C1728836940","TRANSFER","10000000","243"
"C677394894","C1866259073","CASH_OUT","10000000","244"
"C689608084","C1392803603","TRANSFER","10000000","245"
"C689619787","C1481530015","CASH_OUT","10000000","246"
"C697650903","C2108353776","CASH_OUT","10000000","247"
"C701712936","C704752055","CASH_OUT","10000000","248"
"C714385617","C670347095","CASH_OUT","10000000","249"
"C7162498","C945327594","TRANSFER","10000000","250"
"C724193820","C667232119","CASH_OUT","10000000","251"
"C726730575","C1364745638","TRANSFER","10000000","252"
"C731792064","C1744886336","CASH_OUT","10000000","253"
"C737314180","C790685338","TRANSFER","10000000","254"
"C749563037","C606914329","CASH_OUT","10000000","255"
"C752627210","C1853789265","TRANSFER","10000000","256"
"C766182565","C585344505","CASH_OUT","10000000","257"
"C780743034","C491519946","TRANSFER","10000000","258"
"C792080060","C2030266969","CASH_OUT","10000000","259"
"C792651637","C397396936","TRANSFER","10000000","260"
"C794290057","C262998076","TRANSFER","10000000","261"
"C799225890","C478771313","TRANSFER","10000000","262"
"C803647471","C1820998538","CASH_OUT","10000000","263"
"C819618584","C1552047052","CASH_OUT","10000000","264"
"C824646662","C1917849910","CASH_OUT","10000000","265"
"C829777561","C419398117","CASH_OUT","10000000","266"
"C831325954","C1166671647","TRANSFER","10000000","267"
"C838062695","C1614528665","TRANSFER","10000000","268"
"C841821564","C769108247","CASH_OUT","10000000","269"
"C844374854","C141316671","CASH_OUT","10000000","270"
"C866227621","C1759432374","CASH_OUT","10000000","271"
"C884104189","C1648566106","TRANSFER","10000000","272"
"C88849251","C1939028448","TRANSFER","10000000","273"
"C896022572","C1741236640","CASH_OUT","10000000","274"
"C898870268","C1236804041","TRANSFER","10000000","275"
"C916267146","C1505960727","TRANSFER","10000000","276"
"C934748606","C1976182150","CASH_OUT","10000000","277"
"C944451895","C1941053102","CASH_OUT","10000000","278"
"C950353738","C1401949177","CASH_OUT","10000000","279"
"C951363139","C241707602","CASH_OUT","10000000","280"
"C956657254","C383956352","CASH_OUT","10000000","281"
"C97242201","C786701128","CASH_OUT","10000000","282"
"C976919593","C769483130","TRANSFER","10000000","283"
"C981150535","C539137020","CASH_OUT","10000000","284"
"C99029817","C428927923","CASH_OUT","10000000","285"
"C997532070","C483833357","TRANSFER","10000000","286"
"C99979309","C427067936","CASH_OUT","10000000","287"
"C429282035","C1318460385","TRANSFER","9996886.64","288"
"C887830623","C1319987164","CASH_OUT","9996886.64","289"
"C154757729","C1895716929","TRANSFER","9977761.05","290"
"C840795008","C1214752539","CASH_OUT","9977761.05","291"
"C1041938819","C1108421533","CASH_OUT","9960382.4","292"
"C427148786","C1532977706","TRANSFER","9960382.4","293"
"C1071702423","C28783325","CASH_OUT","9887819.06","294"
"C1548903046","C2065423383","TRANSFER","9887819.06","295"
"C1983750370","C381637925","TRANSFER","9811104.49","296"
"C887693253","C1459698370","CASH_OUT","9811104.49","297"
"C1597398625","C1830194909","CASH_OUT","9772559.35","298"
"C417981063","C1176673721","TRANSFER","9772559.35","299"
"C1040320190","C598263954","TRANSFER","9749042.95","300"
"C1139926828","C1698433621","CASH_OUT","9749042.95","301"
"C2078773097","C775810552","TRANSFER","9725837.08","302"
"C792281006","C416165291","CASH_OUT","9725837.08","303"
"C1490771263","C486822956","TRANSFER","9639524.7","304"
"C560583390","C1975522590","CASH_OUT","9639524.7","305"
"C1452214555","C1584664836","CASH_OUT","9639052.83","306"
"C167488694","C629818525","TRANSFER","9639052.83","307"
"C1050497545","C457890781","TRANSFER","9593838.63","308"
"C1463520187","C1508969508","CASH_OUT","9593838.63","309"
"C452586515","C1109166882","TRANSFER","9585040.37","310"
"C1372628002","C1058427074","CASH_OUT","9468064.05","311"
"C554608123","C532377290","TRANSFER","9468064.05","312"
"C851016578","C1650562969","TRANSFER","9465988.82","313"
"C91276418","C1220805115","CASH_OUT","9465988.82","314"
"C1185250980","C970287333","CASH_OUT","9453680.72","315"
"C1433301955","C929797843","TRANSFER","9453680.72","316"
"C476581036","C919579772","TRANSFER","9421856.87","317"
"C644898293","C714177004","CASH_OUT","9421856.87","318"
"C1453976647","C1454683123","TRANSFER","9345700.07","319"
"C399518124","C2125071302","CASH_OUT","9345700.07","320"
"C149938639","C1918368485","TRANSFER","9301213.46","321"
"C2143419144","C754497050","CASH_OUT","9301213.46","322"
"C1363018209","C1049795740","CASH_OUT","9299230.13","323"
"C350993487","C1614280501","TRANSFER","9299230.13","324"
"C1216463302","C1920599052","TRANSFER","9295454.24","325"
"C918631268","C1985219083","CASH_OUT","9295454.24","326"
"C616477106","C1405637035","CASH_OUT","9228514.1","327"
"C920327149","C118210084","TRANSFER","9228514.1","328"
"C1256410677","C1153188048","TRANSFER","9208368.83","329"
"C1490382663","C601562346","CASH_OUT","9208368.83","330"
"C1904629487","C1741955070","CASH_OUT","9198459.96","331"
"C1938563375","C1187100670","TRANSFER","9198459.96","332"
"C183711980","C987041812","TRANSFER","9168747.51","333"
"C2104655508","C1149132986","CASH_OUT","9168747.51","334"
"C1402670582","C1633747285","TRANSFER","9110884.44","335"
"C400087132","C413319813","CASH_OUT","9110884.44","336"
"C413853456","C949247454","TRANSFER","9097679.75","337"
"C622303175","C1544056522","CASH_OUT","9097679.75","338"
"C1360689528","C1674473954","TRANSFER","9060955.18","339"
"C896720879","C779650292","CASH_OUT","9060955.18","340"
"C1074348771","C306278286","TRANSFER","9039246.82","341"
"C378412722","C802151575","CASH_OUT","9039246.82","342"
"C1698261280","C1997459124","CASH_OUT","9033760.73","343"
"C798979222","C1708698454","TRANSFER","9033760.73","344"
"C180006321","C1877082345","CASH_OUT","8994286.69","345"
"C76442447","C684493652","TRANSFER","8994286.69","346"
"C1466563113","C1693955122","TRANSFER","8991625.83","347"
"C549493431","C1727929401","CASH_OUT","8991625.83","348"
"C741504749","C1185320057","TRANSFER","8980853.88","349"
"C822799769","C2068912679","CASH_OUT","8980853.88","350"
"C1495344095","C128292751","TRANSFER","8950011.46","351"
"C780587384","C602293403","CASH_OUT","8950011.46","352"
"C1230337572","C720836200","TRANSFER","8931607.89","353"
"C849209216","C754619416","CASH_OUT","8931607.89","354"
"C1123250480","C109294647","CASH_OUT","8931550.69","355"
"C1634206825","C977366743","TRANSFER","8931550.69","356"
"C1227042704","C585705042","CASH_OUT","8924971.59","357"
"C406938681","C579440834","TRANSFER","8924971.59","358"
"C1044721452","C61841056","TRANSFER","8813323.11","359"
"C748275134","C118248248","CASH_OUT","8813323.11","360"
"C131527035","C897416477","CASH_OUT","8775594.43","361"
"C1917836086","C1694421805","TRANSFER","8775594.43","362"
"C1514794775","C1091532529","TRANSFER","8752000.36","363"
"C333838421","C977281429","CASH_OUT","8752000.36","364"
"C1419011226","C150488099","TRANSFER","8730600.58","365"
"C1590395791","C1505080875","CASH_OUT","8730600.58","366"
"C34841317","C1571144443","CASH_OUT","8720558.46","367"
"C582011779","C1801176562","TRANSFER","8720558.46","368"
"C432288416","C333863007","CASH_OUT","8607089.62","369"
"C546277701","C680858375","TRANSFER","8607089.62","370"
"C1414061418","C161212060","CASH_OUT","8594499.99","371"
"C377226285","C497430875","TRANSFER","8594499.99","372"
"C1456711816","C1231373551","CASH_OUT","8594065.09","373"
"C1801750044","C1420708952","TRANSFER","8594065.09","374"
"C1961162790","C111676219","TRANSFER","8589704.49","375"
"C495266984","C597537774","CASH_OUT","8589704.49","376"
"C601921404","C1092111599","TRANSFER","8537861.24","377"
"C985677650","C1454524635","CASH_OUT","8537861.24","378"
"C1712280078","C865601051","CASH_OUT","8536151.16","379"
"C2060464348","C2079215936","TRANSFER","8536151.16","380"
"C1770565614","C863370612","CASH_OUT","8488865.83","381"
"C2072377567","C816064707","TRANSFER","8488865.83","382"
"C1776089845","C870079370","TRANSFER","8443528.7","383"
"C1824693572","C1970401163","CASH_OUT","8443528.7","384"
"C1485613101","C397739299","TRANSFER","8332002.94","385"
"C17870584","C705444596","CASH_OUT","8332002.94","386"
"C1699496065","C1917022253","TRANSFER","8327328.27","387"
"C2016728314","C1652527413","CASH_OUT","8327328.27","388"
"C2079730259","C684635804","CASH_OUT","8317724.27","389"
"C2084166173","C1399946131","TRANSFER","8317724.27","390"
"C1320375746","C2056964049","CASH_OUT","8286342.51","391"
"C1448634544","C2054992748","TRANSFER","8286342.51","392"
"C1112360108","C1241281307","TRANSFER","8276235.5","393"
"C1880773458","C2102473649","CASH_OUT","8276235.5","394"
"C1990417727","C1223937106","CASH_OUT","8274020.94","395"
"C840630111","C825235440","TRANSFER","8274020.94","396"
"C1847166254","C1601872168","CASH_OUT","8267760.5","397"
"C997276166","C1246358574","TRANSFER","8267760.5","398"
"C135981249","C1929001854","CASH_OUT","8208916","399"
"C364617026","C1664077486","TRANSFER","8208916","400"
"C1807376004","C1506576839","TRANSFER","8186519.17","401"
"C2014067956","C822476275","CASH_OUT","8186519.17","402"
"C1210414819","C118885392","TRANSFER","8142605.46","403"
"C721676184","C1266336636","CASH_OUT","8142605.46","404"
"C2106211047","C1629558772","TRANSFER","8104557.88","405"
"C397420710","C1434531714","CASH_OUT","8104557.88","406"
"C2047670192","C1601626536","TRANSFER","8097183.22","407"
"C896315472","C95956849","CASH_OUT","8097183.22","408"
"C1073081182","C797209152","CASH_OUT","8020192.15","409"
"C1191681942","C916997353","TRANSFER","8020192.15","410"
"C1764648235","C894097120","TRANSFER","8006429.04","411"
"C761504463","C1857128616","CASH_OUT","8006429.04","412"
"C1199373292","C440599856","CASH_OUT","7983958.34","413"
"C58219748","C792397679","TRANSFER","7983958.34","414"
"C1581001485","C2012612648","CASH_OUT","7937954.2","415"
"C2057200986","C1124319645","TRANSFER","7937954.2","416"
"C2147008654","C722948959","TRANSFER","7809301.98","417"
"C799015840","C1036604265","CASH_OUT","7809301.98","418"
"C501884984","C181617125","CASH_OUT","7807640.17","419"
"C843174735","C1348278201","TRANSFER","7807640.17","420"
"C1474481275","C955662088","TRANSFER","7788725.2","421"
"C1897380922","C966109219","CASH_OUT","7788725.2","422"
"C1601590561","C970433237","CASH_OUT","7782452.17","423"
"C1751529795","C1669818195","TRANSFER","7782452.17","424"
"C365237849","C332427023","TRANSFER","7758036.72","425"
"C459813446","C294714363","CASH_OUT","7758036.72","426"
"C149785547","C733601841","TRANSFER","7748802","427"
"C172044102","C648423233","CASH_OUT","7748802","428"
"C139632487","C1966690861","TRANSFER","7728992.56","429"
"C403242634","C61990291","CASH_OUT","7728992.56","430"
"C219294261","C1925673449","TRANSFER","7703574.71","431"
"C233751269","C300915892","CASH_OUT","7703574.71","432"
"C1641731466","C290559240","TRANSFER","7696836.35","433"
"C1784092244","C646123724","CASH_OUT","7696836.35","434"
"C2030295854","C383839277","CASH_OUT","7677120.59","435"
"C2068656014","C1266729216","TRANSFER","7677120.59","436"
"C1039668554","C2113941945","CASH_OUT","7670038.08","437"
"C1744142327","C197131659","TRANSFER","7670038.08","438"
"C12024284","C233514651","CASH_OUT","7620549.14","439"
"C1407135183","C1128587638","TRANSFER","7620549.14","440"
"C1668909596","C1668215397","CASH_OUT","7603589.38","441"
"C1672263305","C1495920841","TRANSFER","7603589.38","442"
"C1942950399","C1781043707","CASH_OUT","7596886.83","443"
"C926688459","C1810250799","TRANSFER","7596886.83","444"
"C1390409394","C1709267320","CASH_OUT","7578130.45","445"
"C1538555812","C1230453143","TRANSFER","7578130.45","446"
"C149249593","C210740885","TRANSFER","7576324.61","447"
"C195861117","C1350236324","CASH_OUT","7576324.61","448"
"C1215509660","C96222488","TRANSFER","7567170.36","449"
"C1891733615","C1599314459","CASH_OUT","7567170.36","450"
"C584194979","C2018653161","TRANSFER","7563536.91","451"
"C983899161","C1297951488","CASH_OUT","7563536.91","452"
"C64015154","C1744865437","TRANSFER","7539165.76","453"
"C937983122","C2117385631","CASH_OUT","7539165.76","454"
"C1144230283","C1501063702","TRANSFER","7515624.63","455"
"C319141085","C1942668370","CASH_OUT","7515624.63","456"
"C1185526711","C342454180","TRANSFER","7513581.46","457"
"C1768255591","C610130308","CASH_OUT","7513581.46","458"
"C1486116303","C398541118","TRANSFER","7484125.12","459"
"C99129129","C1179262893","CASH_OUT","7484125.12","460"
"C679238677","C2112303163","TRANSFER","7482670.24","461"
"C782470219","C13429851","CASH_OUT","7482670.24","462"
"C262815390","C450403816","CASH_OUT","7476725.66","463"
"C452889653","C1784013165","TRANSFER","7476725.66","464"
"C1841900359","C1129100193","CASH_OUT","7469051.14","465"
"C88290164","C161940442","TRANSFER","7469051.14","466"
"C1023551084","C257701345","TRANSFER","7454553.06","467"
"C1952070142","C1302887939","CASH_OUT","7454553.06","468"
"C1893971699","C520742045","TRANSFER","7445820.78","469"
"C482730402","C1332693814","CASH_OUT","7445820.78","470"
"C1517198206","C1743049474","TRANSFER","7442005.19","471"
"C507311282","C381971403","CASH_OUT","7442005.19","472"
"C1466030331","C1541661515","TRANSFER","7435751.59","473"
"C211065329","C1594525511","CASH_OUT","7435751.59","474"
"C1805149634","C849581392","TRANSFER","7428844.46","475"
"C2052842135","C1331351284","CASH_OUT","7428844.46","476"
"C1908904298","C646426738","TRANSFER","7418265.31","477"
"C2071540456","C1519402359","CASH_OUT","7418265.31","478"
"C1043293861","C231660660","CASH_OUT","7365106.76","479"
"C22695246","C750661088","TRANSFER","7365106.76","480"
"C1402128249","C734547406","CASH_OUT","7363709.23","481"
"C551820728","C2069632802","TRANSFER","7363709.23","482"
"C1102672587","C735323689","TRANSFER","7335355.57","483"
"C1223916377","C542934513","CASH_OUT","7335355.57","484"
"C1869569059","C1861208726","TRANSFER","7316255.05","485"
"C376746330","C1384358824","CASH_OUT","7246962.16","486"
"C622490191","C1928486758","TRANSFER","7246962.16","487"
"C1568587963","C362987320","TRANSFER","7240965.96","488"
"C686995087","C893411806","CASH_OUT","7240965.96","489"
"C116882584","C2083647720","CASH_OUT","7239986.95","490"
"C1855522502","C2122742965","TRANSFER","7239986.95","491"
"C426878281","C1596412871","TRANSFER","7218629.01","492"
"C578564110","C903355474","CASH_OUT","7218629.01","493"
"C1876397453","C399465917","CASH_OUT","7197532.27","494"
"C470813600","C931720815","TRANSFER","7197532.27","495"
"C1906024708","C252431988","CASH_OUT","7196174.56","496"
"C2146618198","C1901906276","TRANSFER","7196174.56","497"
"C1962597060","C103010660","TRANSFER","7188425.25","498"
"C1982019124","C2025892351","CASH_OUT","7188425.25","499"
"C1016521533","C475877892","TRANSFER","7169129.94","500"
"C877157675","C357180483","CASH_OUT","7169129.94","501"
"C115707854","C1107422385","CASH_OUT","7114590.07","502"
"C2111007650","C830545754","TRANSFER","7114590.07","503"
"C1425726290","C1670108631","TRANSFER","7109453.78","504"
"C34310706","C615611865","CASH_OUT","7109453.78","505"
"C1494760088","C1835087777","TRANSFER","7108914.22","506"
"C993318150","C73690456","CASH_OUT","7108914.22","507"
"C151517061","C51144678","CASH_OUT","7078157.11","508"
"C973279667","C2055520993","TRANSFER","7078157.11","509"
